sample_id,question,ground_truth,baseline_answer,corrected_answer,baseline_correct,corrected_correct,flip_to_correct,n_claims,n_claims_supported,n_claims_contradicted,n_claims_uncertain,intervened,intervention_score,used_fallback
05491615,The vehicle is in front of who?,pedestrian,The vehicle (the truck) is in front of the pedestrians walking on the sidewalk.,The vehicle is in front of people with umbrellas.,True,False,0,5,0,1,4,1,0.402,0
14192896,Which side of the picture is the spectator on?,right,The spectator is on the right side of the picture.,Right side,True,True,0,5,2,1,2,1,0.266,0
03433692,Are there any bottles in the image?,yes,"Yes, there appears to be a bottle in the image, though it is not clearly identifiable.",Yes,True,True,0,5,0,0,5,1,0.35,0
0167377,Are there both helmets and motorcycles in this picture?,yes,"No, there are motorcycles in the picture, but there are no helmets visible.",Yes,False,True,1,5,2,1,2,1,0.266,0
09982030,What kind of food is below the vegetable near the carrots?,broth,The food below the vegetable near the carrots is a smooth soup made from the blended vegetables.,Blender mixture,False,False,0,5,2,1,2,1,0.266,0
07598996,What is the animal that is to the right of the black container?,giraffe,There is no animal to the right of the black container.,Giraffe,False,True,1,5,1,3,1,1,0.438,0
06222534,On which side is the statue?,right,There is no statue in the image.,There is no statue in the image.,False,False,0,5,4,0,1,0,0.07799999999999999,0
19359515,Is it indoors?,no,"No, it is not indoors.",No,True,True,0,5,1,2,2,1,0.386,0
03262245,Of what color are the bags to the right of the man?,black,There are no bags to the right of the man in the image.,There are no bags to the right of the man in the image.,False,False,0,5,3,1,1,0,0.19799999999999998,0
17397767,Is there a white truck or bus?,no,"No, there is no white truck or bus in the image.",No,True,True,0,5,1,2,2,1,0.386,0
01417011,Which side is the helmet on?,left,The helmet is on the left side of the image.,The helmet is on the left side of the image.,True,True,0,5,2,0,3,0,0.214,0
17596714,What is in front of the bushes?,train tracks,The railway tracks are in front of the bushes.,Railway track,False,False,0,5,2,1,2,1,0.266,0
08651263,What is the street sign on?,street light,The street sign is on the same pole as the clock.,The street sign is on the same pole as the clock.,False,False,0,5,2,0,3,0,0.214,0
11293734,Is there a lamb to the left of the ball?,no,"No, there is no lamb to the left of the ball in the image.","No, there is no lamb to the left of the ball in the image.",True,True,0,5,2,0,3,0,0.214,0
06566426,What is the man in?,canoe,The man is in a blue boat.,The man is in a blue boat.,False,False,0,5,2,0,3,0,0.214,0
161065162,Who is wearing the jeans?,man,"Based on the observations, it is not possible to determine who is wearing jeans in the image.","Based on the observations, it is not possible to determine who is wearing jeans in the image.",False,False,0,5,2,0,3,0,0.214,0
0365933,What is the color of the placemat in the top part of the photo?,cream colored,"There is no placemat in the top part of the photo, so the color cannot be determined.","There is no placemat in the top part of the photo, so the color cannot be determined.",False,False,0,5,3,0,2,0,0.146,0
18168885,Does she look at the ball in the top of the picture?,yes,"Yes, she looks at the ball in the top of the picture.",No,True,False,0,5,1,3,1,1,0.438,0
10682334,Is there food to the right of the tomato that the pepper is to the right of?,no,"No, there is no food to the right of the tomato because there is no pepper in the image, and thus no tomato to the right of it.","No, there is no food to the right of the tomato because there is no pepper in the image, and thus no tomato to the right of it.",True,True,0,5,5,0,0,0,0.009999999999999998,0
06564130,What is the device that he holds?,cell phone,The device he holds is a mobile phone.,Cell phone,False,True,1,5,2,2,1,1,0.318,0
16434006,What does the person that to the right of the boy wear?,blouse,"The person to the right of the boy wears a red shirt, blue jeans, and a black hat.","The person to the right of the boy wears a red shirt, blue jeans, and a black hat.",False,False,0,0,0,0,0,0,0.0,0
12252824,What is the color of the train to the left of the woman?,blue,The color of the train to the left of the woman is yellow.,The color of the train to the left of the woman is yellow.,False,False,0,5,3,0,2,0,0.146,0
0829456,What place was the image taken at?,street,"The image appears to have been taken at a city street during a cycling event or race, but the exact place cannot be identified from the image provided.","The image appears to have been taken at a city street during a cycling event or race, but the exact place cannot be identified from the image provided.",True,True,0,5,3,0,2,0,0.146,0
18602180,Are the clouds in the sky rainy or cloudy?,rainy,"The clouds in the sky appear to be cloudy, but they do not seem to be rainy.",Cloudy,True,False,0,5,2,1,2,1,0.266,0
08337624,Which side of the image is the man on?,left,The man is on the left side of the image.,The man is on the left side of the image.,True,True,0,5,4,0,1,0,0.078,0
03318431,What are the bleachers made of?,wood,The bleachers are made of wood.,The bleachers are made of wood.,True,True,0,5,2,0,3,0,0.214,0
09179577,What is located on top of the skateboard?,sneakers,The person's feet are located on top of the skateboard.,The person's feet are located on top of the skateboard.,False,False,0,0,0,0,0,0,0.0,0
09432410,What animal is striped?,cat,The animal that is striped in the image is a cat.,The animal that is striped in the image is a cat.,True,True,0,5,2,0,3,0,0.214,0
19104279,What is the girl playing with?,ball,The girl is playing tennis.,The girl is playing tennis.,False,False,0,5,3,1,1,0,0.198,0
096049,Is the woman to the left or to the right of the man that holds the racket?,right,The woman is to the right of the man that holds the racket.,The woman is to the right of the man that holds the racket.,True,True,0,5,4,0,1,0,0.07799999999999999,0
03493955,Is the silver car to the left or to the right of the people that are on the right side?,left,The silver car (the train) is to the left of the people on the right side.,The silver car (the train) is to the left of the people on the right side.,True,True,0,5,3,0,2,0,0.146,0
03437169,On which side of the image are the nuts?,right,The nuts are not visible in the image.,The nuts are not visible in the image.,False,False,0,5,3,0,2,0,0.146,0
06981173,What place is it?,display,It is a bathroom showroom or display area.,Bathroom,True,False,0,5,1,2,2,1,0.386,0
10763404,Are the utensils to the right of a refrigerator?,no,"No, the utensils are not to the right of a refrigerator.","No, the utensils are not to the right of a refrigerator.",True,True,0,5,3,0,2,0,0.146,0
19225232,Are there any fences or helmets?,no,"No, there are no fences or helmets in the image.","No, there are no fences or helmets in the image.",True,True,0,5,4,0,1,0,0.07799999999999999,0
05686508,Is the car to the left of the other car green or silver?,silver,The car to the left of the other car is silver.,silver,True,True,0,5,1,0,4,1,0.28200000000000003,0
08709099,Is the man to the left of the boat wearing a jacket?,no,"No, the man to the left of the boat is not wearing a jacket.","No, the man to the left of the boat is not wearing a jacket.",True,True,0,10,8,0,2,0,0.07799999999999999,0
091039290,Is the blue truck to the left of a person?,no,"No, the blue truck is not to the left of a person.",No,True,True,0,5,0,1,4,1,0.402,0
03581765,Is there either a small scooter or motorcycle?,no,"Yes, there are small scooters or motorcycles in the image.",No,False,True,1,5,1,1,3,1,0.334,0
03322739,Is the man to the left or to the right of the spectator on the left?,right,The man (the tennis player) is to the right of the spectator on the left.,The man (the tennis player) is to the right of the spectator on the left.,True,True,0,5,4,0,1,0,0.078,0
10259915,Does the sidewalk seem to be red and dirty?,no,The sidewalk seems to be red.,The sidewalk seems to be red.,False,False,0,5,3,1,1,0,0.19799999999999998,0
0682915,Does the nose that looks black look round and small?,yes,"Yes, the nose that looks black appears round, but it is not small.","Yes, the nose that looks black appears round, but it is not small.",True,True,0,5,2,0,3,0,0.214,0
13515619,What kind of furniture is to the left of the rug?,ottoman,The furniture to the left of the rug is a red leather ottoman and a television on a stand.,Red leather couch,True,False,0,5,1,0,4,1,0.28200000000000003,0
17560215,Who wears shoes?,man,"Most of the people on the platform appear to be wearing shoes, but without a clear view of all their feet, it is not possible to say definitively for every individual.","Most of the people on the platform appear to be wearing shoes, but without a clear view of all their feet, it is not possible to say definitively for every individual.",False,False,0,5,4,0,1,0,0.078,0
1972311,Is this a lamb or a cow?,lamb,This is a lamb.,Lamb,True,True,0,5,0,3,2,1,0.506,0
06146373,Is the toilet to the right of the food?,yes,"There is no food in the image, so the question cannot be answered based on the provided information.","There is no food in the image, so the question cannot be answered based on the provided information.",False,False,0,5,3,0,2,0,0.146,0
00930300,Do the shorts look black or red?,black,The shorts look black.,Black,True,True,0,5,2,1,2,1,0.266,0
12741575,Are there any salt shakers or batteries?,no,"No, there are no salt shakers or batteries in the image.","No, there are no salt shakers or batteries in the image.",True,True,0,5,2,0,3,0,0.214,0
09730771,What vehicle is the man in?,carriage,The man is in a horse-drawn carriage.,The man is in a horse-drawn carriage.,True,True,0,6,4,0,2,0,0.12333333333333334,0
04527826,Are both the cooking pot and the chair made of the same material?,yes,"No, the cooking pot and the chair are not made of the same material.",No,False,False,0,5,1,0,4,1,0.28200000000000003,0
11193931,Are the remote and the floor made of the same material?,no,"No, the remote and the floor are not made of the same material.","No, the remote and the floor are not made of the same material.",True,True,0,5,3,0,2,0,0.146,0
06328865,Is the green car in the bottom part or in the top of the picture?,bottom,The green car is in the bottom part of the picture.,Bottom,True,True,0,5,1,0,4,1,0.28200000000000003,0
05410113,Which side of the image is the television on?,left,The television is on the left side of the image.,The television is on the left side of the image.,True,True,0,5,3,1,1,0,0.198,0
00650121,What animal is on the chair on the right side of the picture?,cat,The animal on the chair on the right side of the picture is a cat.,The animal on the chair on the right side of the picture is a cat.,True,True,0,5,3,0,2,0,0.146,0
17949859,Is there any lettuce to the right of the carrot in the center of the image?,yes,"Yes, there is lettuce to the right of the carrot in the center of the image.","Yes, there is lettuce to the right of the carrot in the center of the image.",True,True,0,5,4,1,0,0,0.13,0
14669854,Are there controllers or beds?,no,"No, there are no controllers or beds in the image.",No,True,True,0,10,4,3,3,1,0.29200000000000004,0
05863853,Does the man in front of the end table appear to be standing?,no,"Yes, the man in front of the end table appears to be standing.","Yes, the man in front of the end table appears to be standing.",False,False,0,5,5,0,0,0,0.009999999999999998,0
133485,Are there any chairs to the right of the young child?,no,"No, there are no chairs to the right of the young child.",No,True,True,0,5,2,1,2,1,0.266,0
19954280,What vegetables are on the plate?,tomatoes,"The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.","The vegetables on the plate are broccoli, cherry tomatoes, celery, and carrot sticks.",True,True,0,5,4,0,1,0,0.078,0
08894679,Are there any boxes beside the device to the left of the mat?,yes,"Yes, there appear to be boxes beside the television to the left of the mat.","Yes, there appear to be boxes beside the television to the left of the mat.",True,True,0,5,4,0,1,0,0.078,0
18229012,What is located on top of the white table?,lamp,The white table has a plant and a few other small objects on top of it.,Lamp,False,True,1,5,0,0,5,1,0.35,0
17459063,Which place is it?,airport,"The image appears to be taken at an airport, but the exact location cannot be identified from the image provided.",Runway,True,False,0,5,0,3,2,1,0.506,0
03212804,What does the person wear?,shorts,The person wears swim trunks.,The person wears swim trunks.,False,False,0,5,4,0,1,0,0.078,0
13136918,Is the sky both blue and overcast?,no,"No, the sky is not both blue and overcast.",No,True,True,0,5,1,1,3,1,0.334,0
17853007,Is there any horse or sheep that is not gray?,no,"No, there is no horse or sheep that is not gray in the image.","No, there is no horse or sheep that is not gray in the image.",True,True,0,5,3,0,2,0,0.146,0
09928108,On which side is the umpire?,right,"The umpire is on the right side of the image, relative to the batter.","The umpire is on the right side of the image, relative to the batter.",True,True,0,5,3,0,2,0,0.146,0
05459303,Who is carrying the bag?,lady,Multiple people are carrying bags in the image.,Multiple people are carrying bags in the image.,False,False,0,5,3,0,2,0,0.146,0
0376680,Does the woman to the left of the man wear shorts?,yes,"No, the woman to the left of the man does not wear shorts.","No, the woman to the left of the man does not wear shorts.",False,False,0,5,2,0,3,0,0.214,0
0529198,Are there any chairs or computers in this scene?,yes,"Yes, there are chairs and computers in this scene.","Yes, there are chairs and computers in this scene.",True,True,0,5,2,0,3,0,0.214,0
00397762,What is the player that is to the left of the helmet preparing?,baseball bat,The player to the left of the helmet is preparing to hit the ball.,The player to the left of the helmet is preparing to hit the ball.,False,False,0,5,4,0,1,0,0.07799999999999999,0
10403875,On what kind of furniture is the cat?,table,The cat is sitting on a wooden table.,The cat is sitting on a wooden table.,True,True,0,5,3,0,2,0,0.146,0
16488440,Which kind of appliance is to the left of the lamp?,air conditioner,The appliance to the left of the lamp is a television.,The appliance to the left of the lamp is a television.,False,False,0,5,2,0,3,0,0.214,0
19494904,Are there both tables and couches in the picture?,yes,"Yes, there are both tables and couches in the picture.","Yes, there are both tables and couches in the picture.",True,True,0,5,3,0,2,0,0.146,0
1864177,"In which part is the person, the top or the bottom?",bottom,The person is in the bottom part of the image.,Bottom,True,True,0,5,2,1,2,1,0.266,0
14275115,Does the chair have a different color than the headband?,yes,"Yes, the chair has a different color than the headband.","Yes, the chair has a different color than the headband.",True,True,0,5,3,0,2,0,0.146,0
01763834,What vehicles are in the street?,cars,The vehicles in the street are cars.,Cars,True,True,0,5,1,3,1,1,0.438,0
00283108,What's on the plate?,pizza,The plate has a pizza on it.,The plate has a pizza on it.,True,True,0,5,4,0,1,0,0.078,0
14816347,Is there any bear in the image?,yes,"Yes, there are bears in the image.","Yes, there are bears in the image.",True,True,0,5,3,0,2,0,0.146,0
14381909,Is the woman to the right or to the left of the glasses that are to the left of the train?,left,The woman is to the right of the glasses that are to the left of the train.,The woman is to the right of the glasses that are to the left of the train.,True,True,0,5,3,0,2,0,0.146,0
13764117,Are there any teddy bears on top of the bed?,no,"No, there are no teddy bears on top of the bed.","No, there are no teddy bears on top of the bed.",True,True,0,5,2,0,3,0,0.214,0
09964815,Are there logoes on the oven?,no,"Yes, there is a logo on the oven.","Yes, there is a logo on the oven.",False,False,0,5,3,1,1,0,0.19799999999999998,0
05913845,What kind of furniture is it?,table,The furniture is a table.,The furniture is a table.,True,True,0,5,3,0,2,0,0.146,0
05755315,Are there any green pillows or bridges?,yes,"No, there are no green pillows or bridges in the image.","No, there are no green pillows or bridges in the image.",False,False,0,7,3,1,3,0,0.24142857142857138,0
05469399,Is the man with the glasses throwing a ball?,no,"No, the man with the glasses is not throwing a ball; he is participating in a game involving a frisbee.","No, the man with the glasses is not throwing a ball; he is participating in a game involving a frisbee.",True,True,0,5,2,0,3,0,0.214,0
161036696,Is the patterned curtain behind the dresser open and long?,no,"No, the patterned curtain behind the dresser is not open and long. It is long but closed.","No, the patterned curtain behind the dresser is not open and long. It is long but closed.",True,True,0,5,3,0,2,0,0.146,0
1366354,How is the weather?,sunny,The weather appears to be sunny and clear.,Sunny,True,True,0,5,2,2,1,1,0.318,0
16811715,Is the sky clear or foggy?,clear,The sky is clear.,Clear,True,True,0,5,2,2,1,1,0.318,0
10882926,What do the end table and the frame have in common?,material,The end table and the frame both share a common material (wood) and a similar design aesthetic.,The end table and the frame both share a common material (wood) and a similar design aesthetic.,True,True,0,5,5,0,0,0,0.009999999999999998,0
14124503,Are there either trains or trailers in this scene?,no,"No, there are neither trains nor trailers in this scene.",No,True,True,0,5,1,1,3,1,0.334,0
03962729,Is the white toilet to the right or to the left of the faucet?,right,The white toilet is to the right of the faucet.,The white toilet is to the right of the faucet.,True,True,0,5,4,0,1,0,0.078,0
03635273,What is in the kitchen?,cabinets,"The kitchen contains a stove, a sink, and wooden cabinets.","The kitchen contains a stove, a sink, and wooden cabinets.",True,True,0,5,2,0,3,0,0.214,0
11298977,Is the woman in front of the people using a computer?,no,"No, the woman in front of the people is not using a computer.","No, the woman in front of the people is not using a computer.",True,True,0,5,3,1,1,0,0.198,0
0866588,Which type of furniture is made of wood?,computer desk,The bed frames and the cabinet in the background are made of wood.,The bed frames and the cabinet in the background are made of wood.,False,False,0,5,2,0,3,0,0.214,0
15242425,Of which color is the sky?,dark,"The image does not show the sky, so the color of the sky cannot be determined from this image.",Dark,False,True,1,5,2,2,1,1,0.318,0
07777814,Is the man to the right of the cars wearing a watch?,yes,"No, the man to the right of the cars is not wearing a watch.","No, the man to the right of the cars is not wearing a watch.",False,False,0,5,2,0,3,0,0.214,0
01956518,Is the bright sky overcast or sunny?,sunny,"Based on the available information, it is not possible to definitively determine if the sky is overcast or sunny.","Based on the available information, it is not possible to definitively determine if the sky is overcast or sunny.",True,True,0,5,3,1,1,0,0.198,0
12171112,"What is this, an oven or a dishwasher?",dishwasher,This is a dishwasher.,Dishwasher,True,True,0,5,0,2,3,1,0.454,0
001009938,Who stands on the skis?,boy,The children in the foreground stand on the skis.,The children in the foreground stand on the skis.,False,False,0,5,3,0,2,0,0.146,0
02325517,Is there a cat or a dog in the photo?,no,"No, there is neither a cat nor a dog in the photo.",No,True,True,0,5,1,1,3,1,0.334,0
131059645,What is the man on?,bench,The man is on a bench.,The man is on a bench.,True,True,0,5,2,0,3,0,0.214,0
02591010,Is the cat healthy?,yes,"Yes, the cat appears to be healthy.","Yes, the cat appears to be healthy.",True,True,0,5,3,0,2,0,0.146,0
06983021,Who in the picture is eating?,man,The person in the picture is eating.,The person in the picture is eating.,False,False,0,5,4,0,1,0,0.078,0
00222257,Is there a couch to the left of the man the cans are to the right of?,yes,"Yes, there is a couch to the left of the man the cans are to the right of.","Yes, there is a couch to the left of the man the cans are to the right of.",True,True,0,5,3,0,2,0,0.146,0
14524305,What is the brown bear balancing on?,log,The brown bear is balancing on a log.,The brown bear is balancing on a log.,True,True,0,5,4,0,1,0,0.078,0
03150880,What is the net on?,pole,The net is on a fence or a similar structure in the background.,The net is on a fence or a similar structure in the background.,False,False,0,0,0,0,0,0,0.0,0
08116986,What is the man walking on?,ground,The man is walking on a rocky beach.,The man is walking on a rocky beach.,False,False,0,5,2,0,3,0,0.214,0
13430682,Do you see onions in this photograph?,no,"Yes, I see onions in the photograph.",Yes,False,False,0,5,0,0,5,1,0.35,0
051058592,What is the color of the tshirt the girl is wearing?,white,The color of the t-shirt the girl is wearing is yellow.,The girl is wearing a pink t-shirt.,False,False,0,5,1,0,4,1,0.28200000000000003,0
05111627,Are there ramekins or bottles in the picture?,no,"No, there are no ramekins or bottles in the picture.","No, there are no ramekins or bottles in the picture.",True,True,0,5,4,0,1,0,0.078,0
11139796,Is the bicycle to the right or to the left of the person that looks blonde?,right,The bicycle is to the right of the person that looks blonde.,The bicycle is to the right of the person that looks blonde.,True,True,0,5,4,0,1,0,0.078,0
141036087,What is the person holding?,surfboard,The person is holding a surfboard.,The person is holding a surfboard.,True,True,0,6,3,1,2,0,0.22333333333333333,0
171034612,Are there tablecloths or bowls?,no,"Yes, there are bowls in the image, specifically the compartments of the bento box.",No,False,True,1,5,2,2,1,1,0.318,0
11119089,Is the sauce on top of a pizza slice?,yes,"Yes, the sauce is on top of a pizza slice.",Yes,True,True,0,5,1,1,3,1,0.334,0
01750921,What is the lady wearing?,pants,The lady is wearing a pink jacket and black pants.,The lady is wearing a pink jacket and black pants.,True,True,0,5,2,0,3,0,0.214,0
17667821,Who is holding the device that looks gray and silver?,girl,"The person in the image is holding the gray and silver device, which is a mobile phone.","The person in the image is holding the gray and silver device, which is a mobile phone.",False,False,0,5,3,1,1,0,0.198,0
04173770,Do the paper and the liquid have a different colors?,yes,"Yes, the paper and the liquid have different colors.","Yes, the paper and the liquid have different colors.",True,True,0,5,2,0,3,0,0.214,0
1573911,Does the man's hair appear to be black or light brown?,black,The man's hair appears to be black.,Black,True,True,0,5,2,1,2,1,0.266,0
10587792,What is the bottle on?,counter,The bottle is on the countertop.,The bottle is on the countertop.,True,True,0,0,0,0,0,0,0.0,0
13363918,Are there both steam and smoke?,yes,"Yes, there are both steam and smoke in the image.",No,True,False,0,5,2,1,2,1,0.266,0
11354848,Does the jacket have brown color?,yes,"No, the jacket does not have a brown color.",Yes,False,True,1,5,1,0,4,1,0.28200000000000003,0
11385575,What animal is this child on?,horse,The child is not on any animal; they are standing next to a horse.,The child is not on an animal; they are petting a horse.,True,True,0,5,2,2,1,1,0.318,0
16742353,Are there both chairs and windows in the image?,no,"No, there are no chairs in the image, but there are windows.","No, there are no chairs in the image, but there are windows.",True,True,0,5,3,0,2,0,0.146,0
07696685,Are there both a chair and a desk in this scene?,yes,"Yes, there are both a chair and a desk in this scene.",Yes,True,True,0,5,1,0,4,1,0.28200000000000003,0
06356032,What is the vehicle to the left of the person that is standing by the fire hydrant?,car,The vehicles to the left of the person standing by the fire hydrant are parked cars.,Car,True,True,0,5,1,0,4,1,0.28200000000000003,0
15425887,Which side of the photo is the kid on?,left,The kid is on the left side of the photo.,The kid is on the left side of the photo.,True,True,0,5,4,0,1,0,0.078,0
10660951,Do you see white plates or mugs?,no,"No, I do not see white plates or mugs in the image.",No,True,True,0,5,2,1,2,1,0.266,0
15586374,What is located on top of the bed?,pillow,The items located on top of the bed are three pillows and a remote control.,Remote control,True,False,0,5,1,1,3,1,0.334,0
04914252,How long is the blond hair?,short,The blond hair is short.,The blond hair is short.,True,True,0,5,5,0,0,0,0.009999999999999998,0
13425365,On which side is the bicycle?,right,The bicycle is on the right side of the image.,The bicycle is on the right side of the image.,True,True,0,5,3,0,2,0,0.146,0
13226655,On which side of the image is the yellow vegetable?,left,The yellow vegetable is on the right side of the image.,The yellow vegetable is on the right side of the image.,False,False,0,5,3,1,1,0,0.19799999999999998,0
19693907,What's the man holding?,fish,The man is holding the string of a kite or similar aerial decoration.,The man is holding the string of a kite or similar aerial decoration.,False,False,0,5,4,0,1,0,0.07799999999999999,0
10611191,Is it outdoors?,yes,"Yes, it is outdoors.","Yes, it is outdoors.",True,True,0,5,4,0,1,0,0.078,0
1645076,Are there any blankets?,yes,"Yes, there are blankets in the image.",No,True,False,0,5,1,3,1,1,0.438,0
15978167,What's the porch made of?,brick,The porch is made of a combination of red and white tiles and concrete or a similar material.,Tiles,False,False,0,5,1,1,3,1,0.334,0
13497067,What is the pepper shaker that is to the left of the mug made of?,plastic,The pepper shaker is made of glass.,The pepper shaker is made of glass.,False,False,0,5,3,0,2,0,0.146,0
05433112,Are there either any dream catchers or lamps?,yes,"There is a lamp in the image, but no dream catchers.","There is a lamp in the image, but no dream catchers.",False,False,0,5,2,0,3,0,0.214,0
08297228,Do you think that shirt is red?,yes,"Yes, I think that shirt is red.","Yes, I think that shirt is red.",True,True,0,5,2,0,3,0,0.214,0
18782434,What do the mug and the tablecloth have in common?,color,The mug and the tablecloth are both white.,The mug and the tablecloth are both white.,False,False,0,5,5,0,0,0,0.009999999999999998,0
11524226,Are there either juice boxes or toothbrushes in the scene?,no,"No, there are neither juice boxes nor toothbrushes in the scene.","No, there are neither juice boxes nor toothbrushes in the scene.",True,True,0,8,6,0,2,0,0.095,0
12772816,What is the appliance in the kitchen?,refrigerator,The appliance in the kitchen is a refrigerator.,The appliance in the kitchen is a refrigerator.,False,False,0,5,3,0,2,0,0.146,0
16661127,Is the door tan or is it maroon?,maroon,The door is maroon.,Maroon,True,True,0,5,1,0,4,1,0.28200000000000003,0
10742293,On which side of the picture is the boat?,right,The boat is on the right side of the picture.,The boat is on the right side of the picture.,True,True,0,5,2,0,3,0,0.214,0
14202781,What is the piece of clothing that is black called?,jacket,The black piece of clothing is called a jacket.,The black piece of clothing is called a jacket.,True,True,0,5,4,1,0,0,0.13,0
1886024,Do you see any grass there that is brown?,yes,"Yes, I see brown areas that could be interpreted as grass in the image.",Yes,True,True,0,5,0,0,5,1,0.35,0
181000995,What item of furniture is to the right of the fruit?,chair,The item of furniture to the right of the fruit is a chair.,The item of furniture to the right of the fruit is a chair.,True,True,0,5,4,0,1,0,0.078,0
06840268,Who is riding the elephant?,guy,"The people in the image are standing on the elephant, not riding it.","The people in the image are standing on the elephant, not riding it.",False,False,0,5,4,0,1,0,0.078,0
041025251,Who is wearing a hat?,woman,The person walking with the golf club is wearing a hat.,The person walking with the golf club is wearing a hat.,False,False,0,5,2,0,3,0,0.214,0
1167999,Which place is it?,river,"The image appears to be taken from a waterfront area in a major North American city, but without more specific landmarks, it's not possible to pinpoint the exact location.",Riverfront Cityscape,False,True,1,5,0,0,5,1,0.35,0
16350496,What clothing item is long sleeved?,jacket,The long-sleeved clothing item in the image is the suit jacket.,The long-sleeved clothing item in the image is the suit jacket.,True,True,0,0,0,0,0,0,0.0,0
18484260,Is there either a triangular pizza or sandwich in this photo?,no,"No, there is neither a triangular pizza nor a sandwich in this photo.","No, there is neither a triangular pizza nor a sandwich in this photo.",True,True,0,10,6,1,3,0,0.172,0
00706944,Where is the man walking?,sidewalk,The image does not provide enough information to determine where the man is walking.,On the sidewalk between the parked cars.,False,True,1,5,1,1,3,1,0.334,0
16535089,Does the motorbike on the road look black?,no,"No, the motorbike on the road does not look black.",No,True,True,0,5,1,0,4,1,0.28200000000000003,0
14389529,Are there either curtains or towels that are white?,yes,"Yes, there is a white towel in the image.","Yes, there is a white towel in the image.",True,True,0,5,3,0,2,0,0.146,0
13726900,Are there either cabinets or towels in this scene?,yes,"No, there are no cabinets or towels in this scene.","No, there are no cabinets or towels in this scene.",False,False,0,5,4,0,1,0,0.07799999999999999,0
19992444,Are there any clocks to the right of the jar that is to the right of the box?,yes,"Yes, there is a clock to the right of the jar that is to the right of the box.","Yes, there is a clock to the right of the jar that is to the right of the box.",True,True,0,5,5,0,0,0,0.009999999999999998,0
11908666,What color is the towel on the right side of the photo?,brown,The towel on the right side of the photo is dark blue or black.,The towel on the right side of the photo is dark blue or black.,False,False,0,5,4,0,1,0,0.07799999999999999,0
10123004,"In which part is the flag, the top or the bottom?",top,The flag is in the top part of the image.,The flag is in the top part of the image.,True,True,0,5,3,0,2,0,0.146,0
14144547,What kind of vehicle is it?,car,The vehicle is a police motorcycle.,Motorcycle,False,False,0,5,2,2,1,1,0.318,0
04869171,In which part is the small shelf?,left,"There is no specific ""small shelf"" mentioned or highlighted in the image. The bookshelf in the background is large and has multiple shelves.","There is no specific ""small shelf"" mentioned or highlighted in the image. The bookshelf in the background is large and has multiple shelves.",False,False,0,5,3,0,2,0,0.146,0
09623056,What kind of furniture is red?,table,The red furniture in the image is the table.,The red furniture in the image is the table.,True,True,0,5,3,0,2,0,0.146,0
19501031,Are there both a door and window in the image?,no,"No, there is no door in the image.",No,True,True,0,5,1,0,4,1,0.28200000000000003,0
17746156,What color is the shirt that the boy is in?,white,The shirt that the boy is in is white.,The shirt that the boy is in is white.,True,True,0,5,3,0,2,0,0.146,0
01385341,What does the man hold onto?,pole,The man holds onto the boom of the sail.,The man holds onto the boom of the sail.,False,False,0,5,2,2,1,1,0.318,0
11196211,What are the men to the left of the horse wearing?,cowboy hat,"The men to the left of the horse are wearing traditional clothing, including long coats and hats.","The men to the left of the horse are wearing traditional clothing, including long coats and hats.",False,False,0,5,4,1,0,0,0.13,0
15641002,Is there food to the right of the food that is lying on top of the plate?,yes,"Yes, there is food to the right of the food lying on top of the plate. The food to the right includes the butter and syrup containers.","Yes, there is food to the right of the food lying on top of the plate. The food to the right includes the butter and syrup containers.",True,True,0,5,3,1,1,0,0.198,0
