experiment_id,method,seed,manifest_path,summary_path,results_csv_path,n_samples,n_baseline_correct,n_corrected_correct,n_flipped,baseline_accuracy,corrected_accuracy,delta_accuracy_pp,duration_seconds,run_hours,runtime_per_sample_s,samples_per_hour,flip_to_correct_per_gpu_hour,gain_pp_per_gpu_hour,intervened_rate,fallback_rate,flip_to_wrong,flip_to_wrong_rate,avg_tokens_per_sample,gain_per_1k_tokens_pp
E1_gqa_replace_all,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1/run_E1_gqa_replace_all_20260329_171654_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1/summary_E1_gqa_replace_all.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1/results_E1_gqa_replace_all.csv,0,0,0,0,,,,4510.13663,1.2528157305555556,,0.0,0.0,,,,,,,
E1_gqa_replace_all,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1_retry/run_E1_gqa_replace_all_20260329_185904_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1_retry/summary_E1_gqa_replace_all.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1_retry/results_E1_gqa_replace_all.csv,0,0,0,0,,,,4232.043881,1.1755677447222221,,0.0,0.0,,,,50.0,0.1,,
E3_gqa_remove_single,E3,,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e3/run_E3_gqa_remove_single_20260329_193734_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e3/summary_E3_gqa_remove_single.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e3/results_E3_gqa_remove_single.csv,0,0,0,0,,,,3569.079573,0.9914109925,,0.0,0.0,,,,50.0,0.1,,
E12_gqa_confidence_gated_e1,E12,,/data/cs22btech11030/test/Inference_time_VLM/results/e12_smoke/run_E12_gqa_confidence_gated_e1_20260401_172549_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12_smoke/summary_E12_gqa_confidence_gated_e1.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12_smoke/results_E12_gqa_confidence_gated_e1.csv,20,9,10,3,0.45,0.5,4.999999999999999,281.31472,0.07814297777777779,14.065736000000001,255.94110397067024,38.39116559560054,63.98527599266755,0.55,0.0,2.0,0.1,,
E1_gqa_replace_all,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/e1_gt_balanced_profile/run_E1_gqa_replace_all_20260331_161512_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_gt_balanced_profile/summary_E1_gqa_replace_all.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_gt_balanced_profile/results_E1_gqa_replace_all.csv,500,296,386,117,0.592,0.772,18.000000000000004,4216.315516,1.1711987544444444,8.432631032,426.91302232230765,99.89764722341998,15.368868803603078,,,27.0,0.054,,
E1_gqa_replace_all,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/e1_gt_highrecall_profile/run_E1_gqa_replace_all_20260331_174016_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_gt_highrecall_profile/summary_E1_gqa_replace_all.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_gt_highrecall_profile/results_E1_gqa_replace_all.csv,500,296,386,117,0.592,0.772,18.000000000000004,5253.603041,1.4593341780555555,10.507206082,342.622003594961,80.17354884122088,12.334392129418598,,,27.0,0.054,,
E1_gqa_replace_all,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/e1_with_gt_injection/run_E1_gqa_replace_all_20260330_090817_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_with_gt_injection/summary_E1_gqa_replace_all.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_with_gt_injection/results_E1_gqa_replace_all.csv,500,296,386,117,0.592,0.772,18.000000000000004,5349.862996,1.4860730544444445,10.699725992,336.4572142026494,78.73098812341998,12.112459711295383,,,27.0,0.054,,
E1_gqa_replace_all,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1_retry/run_E1_gqa_replace_all_20260330_052420_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1_retry/summary_E1_gqa_replace_all.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e1_retry/results_E1_gqa_replace_all.csv,500,296,293,47,0.592,0.586,-0.6000000000000005,4725.286691,1.3125796363888889,9.450573382,380.9292679380414,35.80735118617589,-0.4571151215256501,,,50.0,0.1,,
E12b_gqa_confidence_gated_e1_tuned,E12b,,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_main/run_E12b_gqa_confidence_gated_e1_tuned_20260402_045017_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_main/summary_E12b_gqa_confidence_gated_e1_tuned.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_main/results_E12b_gqa_confidence_gated_e1_tuned.csv,500,296,312,49,0.592,0.624,3.200000000000003,4356.915027,1.2102541741666666,8.713830054,413.1363565378986,40.487362940714064,2.6440726818425535,0.588,0.0,33.0,0.066,,
E12_gqa_confidence_gated_e1,E12,,/data/cs22btech11030/test/Inference_time_VLM/results/e12_main/run_E12_gqa_confidence_gated_e1_20260401_180444_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12_main/summary_E12_gqa_confidence_gated_e1.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12_main/results_E12_gqa_confidence_gated_e1.csv,500,296,298,25,0.592,0.596,0.40000000000000036,3982.431957,1.1062310991666666,7.9648639139999995,451.9851235213458,22.599256176067293,0.361588098817077,0.352,0.0,23.0,0.046,,
E3_gqa_remove_single,E3,,/data/cs22btech11030/test/Inference_time_VLM/results/e3_with_filter_only/run_E3_gqa_remove_single_20260330_090817_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e3_with_filter_only/summary_E3_gqa_remove_single.json,/data/cs22btech11030/test/Inference_time_VLM/results/e3_with_filter_only/results_E3_gqa_remove_single.csv,500,296,293,47,0.592,0.586,-0.6000000000000005,5165.742935,1.4349285930555555,10.33148587,348.44939491748056,32.754243122243174,-0.41813927390097705,,,50.0,0.1,,
E3_gqa_remove_single,E3,,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e3/run_E3_gqa_remove_single_20260330_052416_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e3/summary_E3_gqa_remove_single.json,/data/cs22btech11030/test/Inference_time_VLM/results/single_gpu_e3/results_E3_gqa_remove_single.csv,500,296,293,47,0.592,0.586,-0.6000000000000005,3689.202962,1.0247786005555555,7.378405924,487.91026640187334,45.86356504177609,-0.5854923196822485,,,50.0,0.1,,
E1_gqa_replace_all_n2000_seed123,E1,123.0,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000_seed123/run_E1_gqa_replace_all_n2000_seed123_20260409_103712_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000_seed123/summary_E1_gqa_replace_all_n2000_seed123.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000_seed123/results_E1_gqa_replace_all_n2000_seed123.csv,2000,1271,1595,424,0.6355,0.7975,16.200000000000003,17647.263957,4.9020177658333335,8.8236319785,407.9952573692894,86.49499456228935,3.304761584691245,1.0,0.0,100.0,0.05,,
E1_gqa_replace_all_n2000_seed456,E1,456.0,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000_seed456/run_E1_gqa_replace_all_n2000_seed456_20260409_104548_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000_seed456/summary_E1_gqa_replace_all_n2000_seed456.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000_seed456/results_E1_gqa_replace_all_n2000_seed456.csv,2000,1271,1595,424,0.6355,0.7975,16.200000000000003,17720.110508,4.92225291888889,8.860055254,406.31800782221165,86.13941765830887,3.291175863359915,1.0,0.0,100.0,0.05,,
E1_gqa_replace_all_n2000,E1,,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000/run_E1_gqa_replace_all_n2000_20260408_220726_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000/summary_E1_gqa_replace_all_n2000.json,/data/cs22btech11030/test/Inference_time_VLM/results/e1_n2000/results_E1_gqa_replace_all_n2000.csv,2000,1271,1595,424,0.6355,0.7975,16.200000000000003,15629.173721,4.341437144722222,7.8145868604999995,460.6769448295136,97.66351230385688,3.7314832531190607,1.0,0.0,100.0,0.05,,
E12b_gqa_confidence_gated_e1_tuned_n2000_seed123,E12b,123.0,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000_seed123/run_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123_20260409_104935_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000_seed123/summary_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000_seed123/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed123.csv,2000,1271,1322,157,0.6355,0.661,2.550000000000008,18713.407315,5.198168698611111,9.3567036575,384.7508836206828,30.202944364223605,0.4905573766163721,0.608,0.002,106.0,0.053,,
E12b_gqa_confidence_gated_e1_tuned_n2000_seed456,E12b,456.0,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000_seed456/run_E12b_gqa_confidence_gated_e1_tuned_n2000_seed456_20260409_215649_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000_seed456/summary_E12b_gqa_confidence_gated_e1_tuned_n2000_seed456.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000_seed456/results_E12b_gqa_confidence_gated_e1_tuned_n2000_seed456.csv,2000,1271,1322,157,0.6355,0.661,2.550000000000008,16458.155806,4.571709946111111,8.229077903,437.4730732209475,34.341636247844384,0.5577781683567098,0.608,0.002,106.0,0.053,,
E12b_gqa_confidence_gated_e1_tuned,E12b,,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000/run_E12b_gqa_confidence_gated_e1_tuned_20260402_064603_manifest.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000/summary_E12b_gqa_confidence_gated_e1_tuned.json,/data/cs22btech11030/test/Inference_time_VLM/results/e12b_n2000/results_E12b_gqa_confidence_gated_e1_tuned.csv,2000,1258,1327,158,0.629,0.6635,3.4499999999999975,15979.535833,4.438759953611111,7.9897679165,450.57629178007676,35.59552705062607,0.7772441033206319,0.5985,0.001,89.0,0.0445,,
