method,run_label,threshold,n_total,n_kept,coverage,corrected_accuracy_kept,corrected_error_kept,baseline_accuracy_kept,delta_accuracy_pp_kept,intervened_rate_kept
E1,seed123,0.0,2000,62,0.031,0.9032258064516129,0.09677419354838712,0.4032258064516129,50.0,1.0
E1,seed123,0.025,2000,143,0.0715,0.8391608391608392,0.16083916083916083,0.5594405594405595,27.97202797202797,1.0
E1,seed123,0.05,2000,143,0.0715,0.8391608391608392,0.16083916083916083,0.5594405594405595,27.97202797202797,1.0
E1,seed123,0.07500000000000001,2000,145,0.0725,0.8344827586206897,0.16551724137931034,0.5517241379310345,28.27586206896552,1.0
E1,seed123,0.1,2000,404,0.202,0.8539603960396039,0.14603960396039606,0.6410891089108911,21.287128712871283,1.0
E1,seed123,0.125,2000,406,0.203,0.854679802955665,0.14532019704433496,0.6403940886699507,21.42857142857143,1.0
E1,seed123,0.15000000000000002,2000,777,0.3885,0.8185328185328186,0.18146718146718144,0.6537966537966537,16.47361647361648,1.0
E1,seed123,0.17500000000000002,2000,784,0.392,0.8176020408163265,0.18239795918367352,0.6505102040816326,16.709183673469386,1.0
E1,seed123,0.2,2000,933,0.4665,0.8102893890675241,0.18971061093247588,0.6409431939978564,16.934619506966776,1.0
E1,seed123,0.225,2000,1221,0.6105,0.8058968058968059,0.1941031941031941,0.6461916461916462,15.970515970515976,1.0
E1,seed123,0.25,2000,1255,0.6275,0.8063745019920319,0.19362549800796813,0.6438247011952192,16.254980079681268,1.0
E1,seed123,0.275,2000,1424,0.712,0.8026685393258427,0.1973314606741573,0.6411516853932584,16.15168539325843,1.0
E1,seed123,0.30000000000000004,2000,1612,0.806,0.7959057071960298,0.20409429280397018,0.642059553349876,15.384615384615385,1.0
E1,seed123,0.325,2000,1669,0.8345,0.7980826842420611,0.20191731575793892,0.6411024565608149,15.69802276812462,1.0
E1,seed123,0.35000000000000003,2000,1831,0.9155,0.7962861824139814,0.2037138175860186,0.6384489350081922,15.783724740578918,1.0
E1,seed123,0.375,2000,1837,0.9185,0.7964071856287425,0.20359281437125754,0.6385410996189439,15.786608600979857,1.0
E1,seed123,0.4,2000,1887,0.9435,0.7965023847376789,0.20349761526232113,0.6359300476947536,16.05723370429253,1.0
E1,seed123,0.42500000000000004,2000,1914,0.957,0.7962382445141066,0.20376175548589337,0.6363636363636364,15.987460815047028,1.0
E1,seed123,0.45,2000,1938,0.969,0.7966976264189887,0.20330237358101133,0.6377708978328174,15.892672858617129,1.0
E1,seed123,0.47500000000000003,2000,1965,0.9825,0.7969465648854962,0.2030534351145038,0.6361323155216285,16.081424936386767,1.0
E1,seed123,0.5,2000,1966,0.983,0.7970498474059003,0.20295015259409965,0.6363173957273652,16.07324516785351,1.0
E1,seed123,0.525,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed123,0.55,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed123,0.5750000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed123,0.6000000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed123,0.625,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.65,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.675,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.7000000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.7250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.75,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.775,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.8,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.8250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.8500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.875,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.9,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.925,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.9500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,0.9750000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed123,1.0,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.0,2000,62,0.031,0.9032258064516129,0.09677419354838712,0.4032258064516129,50.0,1.0
E1,seed42,0.025,2000,143,0.0715,0.8391608391608392,0.16083916083916083,0.5594405594405595,27.97202797202797,1.0
E1,seed42,0.05,2000,143,0.0715,0.8391608391608392,0.16083916083916083,0.5594405594405595,27.97202797202797,1.0
E1,seed42,0.07500000000000001,2000,145,0.0725,0.8344827586206897,0.16551724137931034,0.5517241379310345,28.27586206896552,1.0
E1,seed42,0.1,2000,404,0.202,0.8539603960396039,0.14603960396039606,0.6410891089108911,21.287128712871283,1.0
E1,seed42,0.125,2000,406,0.203,0.854679802955665,0.14532019704433496,0.6403940886699507,21.42857142857143,1.0
E1,seed42,0.15000000000000002,2000,777,0.3885,0.8185328185328186,0.18146718146718144,0.6537966537966537,16.47361647361648,1.0
E1,seed42,0.17500000000000002,2000,784,0.392,0.8176020408163265,0.18239795918367352,0.6505102040816326,16.709183673469386,1.0
E1,seed42,0.2,2000,933,0.4665,0.8102893890675241,0.18971061093247588,0.6409431939978564,16.934619506966776,1.0
E1,seed42,0.225,2000,1221,0.6105,0.8058968058968059,0.1941031941031941,0.6461916461916462,15.970515970515976,1.0
E1,seed42,0.25,2000,1255,0.6275,0.8063745019920319,0.19362549800796813,0.6438247011952192,16.254980079681268,1.0
E1,seed42,0.275,2000,1424,0.712,0.8026685393258427,0.1973314606741573,0.6411516853932584,16.15168539325843,1.0
E1,seed42,0.30000000000000004,2000,1612,0.806,0.7959057071960298,0.20409429280397018,0.642059553349876,15.384615384615385,1.0
E1,seed42,0.325,2000,1669,0.8345,0.7980826842420611,0.20191731575793892,0.6411024565608149,15.69802276812462,1.0
E1,seed42,0.35000000000000003,2000,1831,0.9155,0.7962861824139814,0.2037138175860186,0.6384489350081922,15.783724740578918,1.0
E1,seed42,0.375,2000,1837,0.9185,0.7964071856287425,0.20359281437125754,0.6385410996189439,15.786608600979857,1.0
E1,seed42,0.4,2000,1887,0.9435,0.7965023847376789,0.20349761526232113,0.6359300476947536,16.05723370429253,1.0
E1,seed42,0.42500000000000004,2000,1914,0.957,0.7962382445141066,0.20376175548589337,0.6363636363636364,15.987460815047028,1.0
E1,seed42,0.45,2000,1938,0.969,0.7966976264189887,0.20330237358101133,0.6377708978328174,15.892672858617129,1.0
E1,seed42,0.47500000000000003,2000,1965,0.9825,0.7969465648854962,0.2030534351145038,0.6361323155216285,16.081424936386767,1.0
E1,seed42,0.5,2000,1966,0.983,0.7970498474059003,0.20295015259409965,0.6363173957273652,16.07324516785351,1.0
E1,seed42,0.525,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed42,0.55,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed42,0.5750000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed42,0.6000000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed42,0.625,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.65,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.675,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.7000000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.7250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.75,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.775,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.8,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.8250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.8500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.875,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.9,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.925,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.9500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,0.9750000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed42,1.0,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.0,2000,62,0.031,0.9032258064516129,0.09677419354838712,0.4032258064516129,50.0,1.0
E1,seed456,0.025,2000,143,0.0715,0.8391608391608392,0.16083916083916083,0.5594405594405595,27.97202797202797,1.0
E1,seed456,0.05,2000,143,0.0715,0.8391608391608392,0.16083916083916083,0.5594405594405595,27.97202797202797,1.0
E1,seed456,0.07500000000000001,2000,145,0.0725,0.8344827586206897,0.16551724137931034,0.5517241379310345,28.27586206896552,1.0
E1,seed456,0.1,2000,404,0.202,0.8539603960396039,0.14603960396039606,0.6410891089108911,21.287128712871283,1.0
E1,seed456,0.125,2000,406,0.203,0.854679802955665,0.14532019704433496,0.6403940886699507,21.42857142857143,1.0
E1,seed456,0.15000000000000002,2000,777,0.3885,0.8185328185328186,0.18146718146718144,0.6537966537966537,16.47361647361648,1.0
E1,seed456,0.17500000000000002,2000,784,0.392,0.8176020408163265,0.18239795918367352,0.6505102040816326,16.709183673469386,1.0
E1,seed456,0.2,2000,933,0.4665,0.8102893890675241,0.18971061093247588,0.6409431939978564,16.934619506966776,1.0
E1,seed456,0.225,2000,1221,0.6105,0.8058968058968059,0.1941031941031941,0.6461916461916462,15.970515970515976,1.0
E1,seed456,0.25,2000,1255,0.6275,0.8063745019920319,0.19362549800796813,0.6438247011952192,16.254980079681268,1.0
E1,seed456,0.275,2000,1424,0.712,0.8026685393258427,0.1973314606741573,0.6411516853932584,16.15168539325843,1.0
E1,seed456,0.30000000000000004,2000,1612,0.806,0.7959057071960298,0.20409429280397018,0.642059553349876,15.384615384615385,1.0
E1,seed456,0.325,2000,1669,0.8345,0.7980826842420611,0.20191731575793892,0.6411024565608149,15.69802276812462,1.0
E1,seed456,0.35000000000000003,2000,1831,0.9155,0.7962861824139814,0.2037138175860186,0.6384489350081922,15.783724740578918,1.0
E1,seed456,0.375,2000,1837,0.9185,0.7964071856287425,0.20359281437125754,0.6385410996189439,15.786608600979857,1.0
E1,seed456,0.4,2000,1887,0.9435,0.7965023847376789,0.20349761526232113,0.6359300476947536,16.05723370429253,1.0
E1,seed456,0.42500000000000004,2000,1914,0.957,0.7962382445141066,0.20376175548589337,0.6363636363636364,15.987460815047028,1.0
E1,seed456,0.45,2000,1938,0.969,0.7966976264189887,0.20330237358101133,0.6377708978328174,15.892672858617129,1.0
E1,seed456,0.47500000000000003,2000,1965,0.9825,0.7969465648854962,0.2030534351145038,0.6361323155216285,16.081424936386767,1.0
E1,seed456,0.5,2000,1966,0.983,0.7970498474059003,0.20295015259409965,0.6363173957273652,16.07324516785351,1.0
E1,seed456,0.525,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed456,0.55,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed456,0.5750000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed456,0.6000000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed456,0.625,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.65,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.675,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.7000000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.7250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.75,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.775,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.8,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.8250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.8500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.875,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.9,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.925,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.9500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.9750000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,1.0,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E12b,seed123,0.0,2000,62,0.031,0.4032258064516129,0.5967741935483871,0.4032258064516129,0.0,0.0
E12b,seed123,0.025,2000,143,0.0715,0.5594405594405595,0.4405594405594405,0.5594405594405595,0.0,0.0
E12b,seed123,0.05,2000,143,0.0715,0.5594405594405595,0.4405594405594405,0.5594405594405595,0.0,0.0
E12b,seed123,0.07500000000000001,2000,145,0.0725,0.5517241379310345,0.4482758620689655,0.5517241379310345,0.0,0.0
